tag,line,line_type,quire,page,folio,bifolio,section,language,writing_hand,currier_hand,annotations,paragraph,order0,K_topic,topic_id
f21r,8.0,1,C,I,w,4,Herbal,A,1,1,Colour annotation,fcho kshy sheol ocphal opsheas cthodaiin oty okaiin sho tshaiin chkaiin sh cthey cthody cthy totchy keor chy ky qotaiin qotchol ty ctheey otaiin shol chol shol tchol chcthy otyky shey yteol shody chor sheey ysheol chor chol chkaiin,80,6:5,5
f21v,1.0,1,C,J,w,4,Herbal,A,1,1,Colour annotation,toldshy chofchy qofshey shckhol odaiin shey ckholy oeeesoy qokchy chody qotchy qokchy choty tchol qotol keeees chotchy tcho choty chor qotol sho chodaiin choty chol chtychtol osho deey ctho sho cthy dait oky sho tsho chotshol chol todaiin ykcho lchol cho chaiin otchy sheaiin cho kchochaiin,81,6:5,5
f22r,1.0,1,C,K,x,3,Herbal,A,1,1,Colour annotation,pol olshy fcholy shol dpchy oty okoly opchy ocphy ol shol kor qokchol okaiin cthor dain ckhy dom qokol dykaiin kchy cthol ctholo shain,82,6:5,5
f22r,4.0,1,C,K,x,3,Herbal,A,1,1,Colour annotation,pchaiin ofchy cfhy doroiin ypchol syschor ol qokchy chor oldor okyy choldchy chokshchy ctheeb,83,6:5,5
f22r,7.0,1,C,K,x,3,Herbal,A,1,1,Colour annotation,kchol shol dsheor c' chdoly ytaiin olotchy cphal dchor oty ctholy qoky chotaiin chocthydoiin dchor odaiin dain cthy ctheo oraiino,84,6:5,5
f22r,10.0,1,C,K,x,3,Herbal,A,1,1,Colour annotation,kchol chor cthoiin dchor chey qokol dyopchol oldam doiin yckhody qokchy oky otoldy yty dol ordchchy odchaiin cthy okchy kchy dchol daiinydaiin dchor dy dain qockhy ykol okain,85,6:5,5
f22v,1.0,1,C,L,x,3,Herbal,A,1,1,Colour annotation,pysaiinor ofchar oky tchy otdysor shy qo'd kaiin qotchy kchy otchyddshor ychy qoky kchorl otchy cthy otchykyytchol otam otchaiin shoty qokysaiinodaiin ytaiin dor kcheor,86,6:5,5
f22v,6.0,1,C,L,x,3,Herbal,A,1,1,Colour annotation,fshor shy tchor otaiin ychor chor qokchol chory qotchy cthy qokol dam okshor shody chol tchol otaiin qokchy sor ytal sokaiin oty dy ychky cthy okchain chkoldy shotoly qotchy olshly shol sho cthy chocthy qokchy dory saiinchy daldalol,87,6:5,5
f23r,1.0,1,C,M,y,2,Herbal,A,1,1,Colour annotation,pydchdom chy fcholdy oty otchol shy opyaiin y' yfchy ololdy to ar chor chk dain otchy lolchor dam okchol dain dchar ykor kaiin cth?,88,6:5,5
f23r,4.0,1,C,M,y,2,Herbal,A,1,1,Colour annotation,qokoldy okaiir ykaiil qokeey ofchol dain yfchor olfchor otchald ychor qokchol ytym chol dair chol ar ol ol dol dain,89,6:5,5
f23r,6.0,1,C,M,y,2,Herbal,A,1,1,Colour annotation,tshol kor qokaiin yky dchey daiidal dam ytcho ldals okar olchar shaiin qokchol qokchol dairo ol alg qokshy char daiir qokaiin olol qoaiin ykchy sdal okchy ok shy qokol dydal dshe qokeees olydaiin qok okaiin chkchy syteain odal chal dydar ykain ykyka dalory,90,6:5,5
f23v,1.0,1,C,N,y,2,Herbal,A,1,1,Colour annotation,podairol odaiiily sho al dy opchol ol chcphy qotchar qotcotor chy okchaldy qokchey dolotchol chal otchg ycho okaiin okeol eees okeeordaiin qotcholg okchey dair sholol ol dalotchor dor chear shor dol oaldary,91,6:5,5
f23v,6.0,1,C,N,y,2,Herbal,A,1,1,Colour annotation,tshol shor shkshy daiinotshor olsar sho shol qokol daiinsol ylg qokaiin dain qokor okal damchor olol dam otshy oldar ar orqoto chees dor chy kshol chol ctho?otol oloiir okaiin doroiin olols oiinol cheeb ols ol aiios oloro eeeoly,92,6:5,5
f24r,1.0,1,C,O,z,1,Herbal,A,1,1,Colour annotation,por or chor opchar she cheol or qotaiin char odaiin okaiikhal oky ycthar cthal qotar ckhy or chckhaly cthar eeor chees da qodar cho chey cthy cthe keom oeeeos cthor otal qocthol qoky qkar chtar cheor cthol qodol ychor om qoear qokeol odaiin ckham qodaiikhy dol q?or cfhar chor chotaiin dy cheoiees okeem cheor qokain qokchy qotchy tol tod ckhy oees ol chey chcth ar qor cheey qod char cthal ockhoees oeees ol sham okeal dam sshey otam sham cthoj oky ycheol chol chol yol kol chol shom otacphy sam chorly,93,6:5,5
f24v,1.0,1,C,P,z,1,Herbal,A,1,1,Colour annotation,tchodar chocfhey opom shod chcphy opshody ocphoraiin oam ydals ckhor shy cho dchor otaiirotchos okchom okcho octhyl odchees oesearies okam chcth ydal sh okaiin odaiin dlos oeor oraiin tchar oro,94,6:5,5
